# This  reference  spectrum  was taken on Mar-21 2022-03-21 by
# David.   In principle this is saved in Intensical itself but
# Princeton  Instruments   was unresponsive in retrieving this
# data.  As such the data needs to be hacked out of Lightfield
# itself    by  applying  the  intensity  calibration  on  the
# spectrum of the lamp itself.
# To  see the configuration under which this was done, see the
# file   /Log/Data/Intensical  REF.spe.  To  obtain  the  data
# contained in   this file, that data was resampled to have at
# intervals of 0.1 nm,  and an moving average with a stride of
# 10 was taken.
# The  x-axis  corresponds to wavelength in nm, and the y-axis
# is  the  spectrum  of the Intensical lamp normalized so that
# the  maximum is 1.
4.285e+02,5.37718296e-02
4.286e+02,5.46310887e-02
4.287e+02,5.55271065e-02
4.288e+02,5.64486475e-02
4.289e+02,5.73945046e-02
4.290e+02,5.83652589e-02
4.291e+02,5.93786029e-02
4.292e+02,6.03983451e-02
4.293e+02,6.14216387e-02
4.294e+02,6.24482105e-02
4.295e+02,6.34961320e-02
4.296e+02,6.45526749e-02
4.297e+02,6.56143521e-02
4.298e+02,6.66762699e-02
4.299e+02,6.77318155e-02
4.300e+02,6.87971673e-02
4.301e+02,6.98776165e-02
4.302e+02,7.09810522e-02
4.303e+02,7.21380235e-02
4.304e+02,7.33394079e-02
4.305e+02,7.45814905e-02
4.306e+02,7.58494538e-02
4.307e+02,7.71128922e-02
4.308e+02,7.83755883e-02
4.309e+02,7.96411777e-02
4.310e+02,8.09373215e-02
4.311e+02,8.22465790e-02
4.312e+02,8.35806922e-02
4.313e+02,8.49496626e-02
4.314e+02,8.63254899e-02
4.315e+02,8.77145277e-02
4.316e+02,8.91146711e-02
4.317e+02,9.05243469e-02
4.318e+02,9.19311327e-02
4.319e+02,9.33683974e-02
4.320e+02,9.48338325e-02
4.321e+02,9.63240722e-02
4.322e+02,9.78514037e-02
4.323e+02,9.94095518e-02
4.324e+02,1.00989447e-01
4.325e+02,1.02572455e-01
4.326e+02,1.04123563e-01
4.327e+02,1.05698583e-01
4.328e+02,1.07293425e-01
4.329e+02,1.08857481e-01
4.330e+02,1.10429094e-01
4.331e+02,1.12046003e-01
4.332e+02,1.13708608e-01
4.333e+02,1.15354012e-01
4.334e+02,1.17083422e-01
4.335e+02,1.18860532e-01
4.336e+02,1.20669542e-01
4.337e+02,1.22482540e-01
4.338e+02,1.24316155e-01
4.339e+02,1.26152545e-01
4.340e+02,1.27982226e-01
4.341e+02,1.29840367e-01
4.342e+02,1.31737784e-01
4.343e+02,1.33658340e-01
4.344e+02,1.35588960e-01
4.345e+02,1.37557252e-01
4.346e+02,1.39538117e-01
4.347e+02,1.41527293e-01
4.348e+02,1.43520068e-01
4.349e+02,1.45581963e-01
4.350e+02,1.47670973e-01
4.351e+02,1.49782212e-01
4.352e+02,1.51913744e-01
4.353e+02,1.54076041e-01
4.354e+02,1.56250269e-01
4.355e+02,1.58444201e-01
4.356e+02,1.60690054e-01
4.357e+02,1.62952287e-01
4.358e+02,1.65222057e-01
4.359e+02,1.67511389e-01
4.360e+02,1.69884525e-01
4.361e+02,1.72278483e-01
4.362e+02,1.74689353e-01
4.363e+02,1.77119437e-01
4.364e+02,1.79592326e-01
4.365e+02,1.82067408e-01
4.366e+02,1.84547439e-01
4.367e+02,1.87037095e-01
4.368e+02,1.89582107e-01
4.369e+02,1.92156787e-01
4.370e+02,1.94735600e-01
4.371e+02,1.97300490e-01
4.372e+02,1.99881336e-01
4.373e+02,2.02506520e-01
4.374e+02,2.05169435e-01
4.375e+02,2.07865551e-01
4.376e+02,2.10639138e-01
4.377e+02,2.13448365e-01
4.378e+02,2.16285890e-01
4.379e+02,2.19144906e-01
4.380e+02,2.22003201e-01
4.381e+02,2.24875503e-01
4.382e+02,2.27758914e-01
4.383e+02,2.30644216e-01
4.384e+02,2.33542091e-01
4.385e+02,2.36454255e-01
4.386e+02,2.39381878e-01
4.387e+02,2.42329009e-01
4.388e+02,2.45318256e-01
4.389e+02,2.48343213e-01
4.390e+02,2.51395667e-01
4.391e+02,2.54435748e-01
4.392e+02,2.57491881e-01
4.393e+02,2.60579594e-01
4.394e+02,2.63698504e-01
4.395e+02,2.66769217e-01
4.396e+02,2.69947366e-01
4.397e+02,2.73174203e-01
4.398e+02,2.76413387e-01
4.399e+02,2.79565027e-01
4.400e+02,2.82771517e-01
4.401e+02,2.85995652e-01
4.402e+02,2.89205785e-01
4.403e+02,2.92373531e-01
4.404e+02,2.95565950e-01
4.405e+02,2.98767415e-01
4.406e+02,3.01956981e-01
4.407e+02,3.05135445e-01
4.408e+02,3.08314063e-01
4.409e+02,3.11501551e-01
4.410e+02,3.14714426e-01
4.411e+02,3.17893152e-01
4.412e+02,3.21069132e-01
4.413e+02,3.24258382e-01
4.414e+02,3.27496819e-01
4.415e+02,3.30718401e-01
4.416e+02,3.33938040e-01
4.417e+02,3.37156368e-01
4.418e+02,3.40362145e-01
4.419e+02,3.43537608e-01
4.420e+02,3.46720855e-01
4.421e+02,3.49920508e-01
4.422e+02,3.53107286e-01
4.423e+02,3.56242719e-01
4.424e+02,3.59359082e-01
4.425e+02,3.62468920e-01
4.426e+02,3.65540347e-01
4.427e+02,3.68602887e-01
4.428e+02,3.71658997e-01
4.429e+02,3.74710214e-01
4.430e+02,3.77767046e-01
4.431e+02,3.80809862e-01
4.432e+02,3.83848961e-01
4.433e+02,3.86895122e-01
4.434e+02,3.89948097e-01
4.435e+02,3.92899795e-01
4.436e+02,3.95763026e-01
4.437e+02,3.98555591e-01
4.438e+02,4.01294868e-01
4.439e+02,4.03986431e-01
4.440e+02,4.06653077e-01
4.441e+02,4.09344442e-01
4.442e+02,4.12007854e-01
4.443e+02,4.14614573e-01
4.444e+02,4.17171158e-01
4.445e+02,4.19714362e-01
4.446e+02,4.22208473e-01
4.447e+02,4.24652098e-01
4.448e+02,4.27039369e-01
4.449e+02,4.29343014e-01
4.450e+02,4.31553408e-01
4.451e+02,4.33703956e-01
4.452e+02,4.35806102e-01
4.453e+02,4.37864985e-01
4.454e+02,4.39882918e-01
4.455e+02,4.41849618e-01
4.456e+02,4.43754939e-01
4.457e+02,4.45570480e-01
4.458e+02,4.47360506e-01
4.459e+02,4.49113560e-01
4.460e+02,4.50817504e-01
4.461e+02,4.52501355e-01
4.462e+02,4.54115593e-01
4.463e+02,4.55668100e-01
4.464e+02,4.57164820e-01
4.465e+02,4.58585150e-01
4.466e+02,4.59911190e-01
4.467e+02,4.61158806e-01
4.468e+02,4.62352242e-01
4.469e+02,4.63455732e-01
4.470e+02,4.64484366e-01
4.471e+02,4.65451806e-01
4.472e+02,4.66385903e-01
4.473e+02,4.67253738e-01
4.474e+02,4.68027229e-01
4.475e+02,4.68713503e-01
4.476e+02,4.69367068e-01
4.477e+02,4.69922951e-01
4.478e+02,4.70394701e-01
4.479e+02,4.70780192e-01
4.480e+02,4.71048893e-01
4.481e+02,4.71275408e-01
4.482e+02,4.71423078e-01
4.483e+02,4.71475673e-01
4.484e+02,4.71501192e-01
4.485e+02,4.71514388e-01
4.486e+02,4.71453241e-01
4.487e+02,4.71270601e-01
4.488e+02,4.70994321e-01
4.489e+02,4.70627351e-01
4.490e+02,4.70167471e-01
4.491e+02,4.69605634e-01
4.492e+02,4.68985646e-01
4.493e+02,4.68328586e-01
4.494e+02,4.67626445e-01
4.495e+02,4.66861701e-01
4.496e+02,4.66041414e-01
4.497e+02,4.65183465e-01
4.498e+02,4.64293900e-01
4.499e+02,4.63379750e-01
4.500e+02,4.62397889e-01
4.501e+02,4.61352992e-01
4.502e+02,4.60237981e-01
4.503e+02,4.59021434e-01
4.504e+02,4.57703102e-01
4.505e+02,4.56330598e-01
4.506e+02,4.54916320e-01
4.507e+02,4.53464992e-01
4.508e+02,4.51939550e-01
4.509e+02,4.50374177e-01
4.510e+02,4.48778066e-01
4.511e+02,4.47128150e-01
4.512e+02,4.45444163e-01
4.513e+02,4.43743480e-01
4.514e+02,4.42030144e-01
4.515e+02,4.40199349e-01
4.516e+02,4.38302987e-01
4.517e+02,4.36357630e-01
4.518e+02,4.34374163e-01
4.519e+02,4.32291918e-01
4.520e+02,4.30175625e-01
4.521e+02,4.28031168e-01
4.522e+02,4.25863656e-01
4.523e+02,4.23633343e-01
4.524e+02,4.21384032e-01
4.525e+02,4.19123962e-01
4.526e+02,4.16862860e-01
4.527e+02,4.14607301e-01
4.528e+02,4.12325462e-01
4.529e+02,4.10012464e-01
4.530e+02,4.07662434e-01
4.531e+02,4.05290827e-01
4.532e+02,4.02872357e-01
4.533e+02,4.00417175e-01
4.534e+02,3.97988475e-01
4.535e+02,3.95581333e-01
4.536e+02,3.93183704e-01
4.537e+02,3.90793071e-01
4.538e+02,3.88416200e-01
4.539e+02,3.86003029e-01
4.540e+02,3.83573620e-01
4.541e+02,3.81136966e-01
4.542e+02,3.78698882e-01
4.543e+02,3.76265830e-01
4.544e+02,3.73852878e-01
4.545e+02,3.71470886e-01
4.546e+02,3.69093089e-01
4.547e+02,3.66670722e-01
4.548e+02,3.64220587e-01
4.549e+02,3.61757788e-01
4.550e+02,3.59297368e-01
4.551e+02,3.56853464e-01
4.552e+02,3.54439289e-01
4.553e+02,3.52076966e-01
4.554e+02,3.49753704e-01
4.555e+02,3.47428652e-01
4.556e+02,3.45091145e-01
4.557e+02,3.42723756e-01
4.558e+02,3.40336351e-01
4.559e+02,3.37935338e-01
4.560e+02,3.35525508e-01
4.561e+02,3.33118961e-01
